invoice_id,customer_id,customer_name,invoice_date,due_date,currency,subtotal,tax,total,status
INV-1024,C004,Orion Industrial Holdings,2026-08-16,2026-09-15,INR,200000,36000.0,236000.0,Paid
INV-1025,C002,Bharat Manufacturing Pvt Ltd,2026-08-04,2026-09-03,INR,200000,36000.0,236000.0,Paid
INV-1026,C007,Apex Infrastructure Ltd,2026-08-14,2026-09-13,INR,250000,45000.0,295000.0,Paid
INV-1027,C002,Bharat Manufacturing Pvt Ltd,2026-08-02,2026-09-01,INR,200000,36000.0,236000.0,Paid
INV-1028,C004,Orion Industrial Holdings,2026-08-07,2026-09-06,INR,98000,17640.0,115640.0,Paid
INV-1029,C003,Nova Retail Solutions,2026-08-14,2026-09-13,INR,75000,13500.0,88500.0,Paid
INV-1030,C008,BlueSky Logistics India,2026-08-08,2026-09-07,INR,45000,8100.0,53100.0,Paid
INV-1031,C002,Bharat Manufacturing Pvt Ltd,2026-08-02,2026-09-01,INR,25000,4500.0,29500.0,Paid
INV-1032,C004,Orion Industrial Holdings,2026-08-06,2026-09-05,INR,200000,36000.0,236000.0,Paid
INV-1033,C008,BlueSky Logistics India,2026-08-07,2026-09-06,INR,200000,36000.0,236000.0,Paid
INV-1034,C003,Nova Retail Solutions,2026-08-13,2026-09-12,INR,25000,4500.0,29500.0,Paid
INV-1035,C005,Vertex Technologies India,2026-08-15,2026-09-14,INR,125000,22500.0,147500.0,Paid
INV-1036,C009,Zenith Consumer Products,2026-08-16,2026-09-15,INR,75000,13500.0,88500.0,Paid
INV-1037,C005,Vertex Technologies India,2026-08-07,2026-09-06,INR,25000,4500.0,29500.0,Paid
INV-1038,C006,Global Components Pvt Ltd,2026-08-02,2026-09-01,INR,25000,4500.0,29500.0,Paid
INV-1039,C009,Zenith Consumer Products,2026-08-17,2026-09-16,INR,75000,13500.0,88500.0,Paid
INV-1040,C009,Zenith Consumer Products,2026-08-03,2026-09-02,INR,75000,13500.0,88500.0,Paid
INV-1041,C010,Meridian Energy Services,2026-08-03,2026-09-02,INR,98000,17640.0,115640.0,Paid
INV-1042,C002,Bharat Manufacturing Pvt Ltd,2026-08-19,2026-09-18,INR,98000,17640.0,115640.0,Paid
INV-1043,C010,Meridian Energy Services,2026-08-03,2026-09-02,INR,200000,36000.0,236000.0,Paid
INV-1044,C004,Orion Industrial Holdings,2026-08-11,2026-09-10,INR,98000,17640.0,115640.0,Paid
INV-1045,C007,Apex Infrastructure Ltd,2026-08-05,2026-09-04,INR,125000,22500.0,147500.0,Paid
INV-1046,C006,Global Components Pvt Ltd,2026-08-03,2026-09-02,INR,25000,4500.0,29500.0,Paid
INV-1047,C010,Meridian Energy Services,2026-08-19,2026-09-18,INR,45000,8100.0,53100.0,Paid
INV-1048,C009,Zenith Consumer Products,2026-08-07,2026-09-06,INR,125000,22500.0,147500.0,Paid
INV-1049,C006,Global Components Pvt Ltd,2026-08-03,2026-09-02,INR,98000,17640.0,115640.0,Paid
INV-1050,C005,Vertex Technologies India,2026-08-06,2026-09-05,INR,250000,45000.0,295000.0,Paid
INV-1051,C010,Meridian Energy Services,2026-08-21,2026-09-20,INR,25000,4500.0,29500.0,Paid
INV-1052,C002,Bharat Manufacturing Pvt Ltd,2026-08-05,2026-09-04,INR,125000,22500.0,147500.0,Paid
INV-1053,C002,Bharat Manufacturing Pvt Ltd,2026-08-18,2026-09-17,INR,75000,13500.0,88500.0,Paid
INV-1054,C005,Vertex Technologies India,2026-08-20,2026-09-19,INR,98000,17640.0,115640.0,Paid
INV-1055,C004,Orion Industrial Holdings,2026-08-21,2026-09-20,INR,125000,22500.0,147500.0,Paid
INV-1056,C005,Vertex Technologies India,2026-08-02,2026-09-01,INR,45000,8100.0,53100.0,Paid
INV-1057,C005,Vertex Technologies India,2026-08-02,2026-09-01,INR,25000,4500.0,29500.0,Paid
INV-1058,C005,Vertex Technologies India,2026-08-06,2026-09-05,INR,250000,45000.0,295000.0,Paid
INV-1059,C009,Zenith Consumer Products,2026-08-01,2026-08-31,INR,45000,8100.0,53100.0,Paid
INV-1060,C003,Nova Retail Solutions,2026-08-18,2026-09-17,INR,25000,4500.0,29500.0,Paid
INV-1061,C010,Meridian Energy Services,2026-08-18,2026-09-17,INR,75000,13500.0,88500.0,Paid
INV-1062,C003,Nova Retail Solutions,2026-08-02,2026-09-01,INR,125000,22500.0,147500.0,Paid
INV-1063,C001,Acme Industries Limited,2026-08-12,2026-09-11,INR,98000,17640.0,115640.0,Paid
INV-1064,C002,Bharat Manufacturing Pvt Ltd,2026-08-12,2026-09-11,INR,200000,36000.0,236000.0,Paid
INV-1065,C004,Orion Industrial Holdings,2026-08-06,2026-09-05,INR,75000,13500.0,88500.0,Paid
INV-1066,C001,Acme Industries Limited,2026-08-06,2026-09-05,INR,150000,27000.0,177000.0,Paid
INV-1067,C004,Orion Industrial Holdings,2026-08-09,2026-09-08,INR,75000,13500.0,88500.0,Paid
INV-1068,C007,Apex Infrastructure Ltd,2026-08-02,2026-09-01,INR,250000,45000.0,295000.0,Paid
INV-1069,C004,Orion Industrial Holdings,2026-08-15,2026-09-14,INR,150000,27000.0,177000.0,Paid
INV-1070,C004,Orion Industrial Holdings,2026-08-08,2026-09-07,INR,25000,4500.0,29500.0,Paid
INV-1071,C007,Apex Infrastructure Ltd,2026-08-11,2026-09-10,INR,125000,22500.0,147500.0,Paid
INV-1072,C005,Vertex Technologies India,2026-08-12,2026-09-11,INR,200000,36000.0,236000.0,Paid
INV-1073,C001,Acme Industries Limited,2026-08-04,2026-09-03,INR,125000,22500.0,147500.0,Paid
INV-1074,C010,Meridian Energy Services,2026-08-09,2026-09-08,INR,25000,4500.0,29500.0,Paid
INV-1075,C010,Meridian Energy Services,2026-08-14,2026-09-13,INR,150000,27000.0,177000.0,Paid
INV-1076,C007,Apex Infrastructure Ltd,2026-08-20,2026-09-19,INR,45000,8100.0,53100.0,Paid
INV-1077,C010,Meridian Energy Services,2026-08-07,2026-09-06,INR,125000,22500.0,147500.0,Paid
INV-1078,C007,Apex Infrastructure Ltd,2026-08-01,2026-08-31,INR,98000,17640.0,115640.0,Paid
INV-1079,C002,Bharat Manufacturing Pvt Ltd,2026-08-11,2026-09-10,INR,150000,27000.0,177000.0,Paid
INV-1080,C005,Vertex Technologies India,2026-08-17,2026-09-16,INR,125000,22500.0,147500.0,Paid
INV-1081,C006,Global Components Pvt Ltd,2026-08-13,2026-09-12,INR,125000,22500.0,147500.0,Paid
INV-1082,C004,Orion Industrial Holdings,2026-08-14,2026-09-13,INR,200000,36000.0,236000.0,Paid
INV-1083,C010,Meridian Energy Services,2026-08-19,2026-09-18,INR,125000,22500.0,147500.0,Paid
INV-1084,C009,Zenith Consumer Products,2026-08-01,2026-08-31,INR,125000,22500.0,147500.0,Paid
INV-1085,C004,Orion Industrial Holdings,2026-08-14,2026-09-13,INR,150000,27000.0,177000.0,Paid
INV-1086,C008,BlueSky Logistics India,2026-08-15,2026-09-14,INR,98000,17640.0,115640.0,Paid
INV-1087,C003,Nova Retail Solutions,2026-08-03,2026-09-02,INR,125000,22500.0,147500.0,Paid
INV-1088,C002,Bharat Manufacturing Pvt Ltd,2026-08-08,2026-09-07,INR,125000,22500.0,147500.0,Paid
INV-1089,C004,Orion Industrial Holdings,2026-08-05,2026-09-04,INR,25000,4500.0,29500.0,Paid
INV-1090,C008,BlueSky Logistics India,2026-08-20,2026-09-19,INR,45000,8100.0,53100.0,Paid
INV-1091,C007,Apex Infrastructure Ltd,2026-08-21,2026-09-20,INR,98000,17640.0,115640.0,Paid
INV-1092,C008,BlueSky Logistics India,2026-08-13,2026-09-12,INR,98000,17640.0,115640.0,Paid
INV-1093,C001,Acme Industries Limited,2026-08-04,2026-09-03,INR,200000,36000.0,236000.0,Paid
INV-1094,C009,Zenith Consumer Products,2026-08-15,2026-09-14,INR,25000,4500.0,29500.0,Paid
INV-1095,C002,Bharat Manufacturing Pvt Ltd,2026-08-15,2026-09-14,INR,75000,13500.0,88500.0,Paid
INV-1096,C009,Zenith Consumer Products,2026-08-18,2026-09-17,INR,150000,27000.0,177000.0,Paid
INV-1097,C010,Meridian Energy Services,2026-08-17,2026-09-16,INR,200000,36000.0,236000.0,Paid
INV-1098,C003,Nova Retail Solutions,2026-08-16,2026-09-15,INR,250000,45000.0,295000.0,Paid
INV-1099,C005,Vertex Technologies India,2026-08-17,2026-09-16,INR,250000,45000.0,295000.0,Paid
INV-1100,C005,Vertex Technologies India,2026-08-15,2026-09-14,INR,45000,8100.0,53100.0,Paid
INV-1101,C004,Orion Industrial Holdings,2026-08-09,2026-09-08,INR,150000,27000.0,177000.0,Paid
INV-1102,C009,Zenith Consumer Products,2026-08-03,2026-09-02,INR,75000,13500.0,88500.0,Paid
INV-1103,C004,Orion Industrial Holdings,2026-08-13,2026-09-12,INR,75000,13500.0,88500.0,Paid
INV-1104,C007,Apex Infrastructure Ltd,2026-08-14,2026-09-13,INR,150000,27000.0,177000.0,Paid
INV-1105,C007,Apex Infrastructure Ltd,2026-08-02,2026-09-01,INR,98000,17640.0,115640.0,Paid
INV-1106,C007,Apex Infrastructure Ltd,2026-08-19,2026-09-18,INR,25000,4500.0,29500.0,Paid
INV-1107,C001,Acme Industries Limited,2026-08-12,2026-09-11,INR,125000,22500.0,147500.0,Paid
INV-1108,C007,Apex Infrastructure Ltd,2026-08-18,2026-09-17,INR,98000,17640.0,115640.0,Paid
INV-1109,C004,Orion Industrial Holdings,2026-08-09,2026-09-08,INR,200000,36000.0,236000.0,Paid
INV-1110,C001,Acme Industries Limited,2026-08-13,2026-09-12,INR,150000,27000.0,177000.0,Paid
INV-1111,C003,Nova Retail Solutions,2026-08-15,2026-09-14,INR,75000,13500.0,88500.0,Paid
INV-1112,C007,Apex Infrastructure Ltd,2026-08-19,2026-09-18,INR,25000,4500.0,29500.0,Paid
INV-1113,C007,Apex Infrastructure Ltd,2026-08-05,2026-09-04,INR,250000,45000.0,295000.0,Paid
INV-1114,C001,Acme Industries Limited,2026-08-09,2026-09-08,INR,200000,36000.0,236000.0,Paid
INV-1115,C004,Orion Industrial Holdings,2026-08-15,2026-09-14,INR,150000,27000.0,177000.0,Paid
INV-1116,C007,Apex Infrastructure Ltd,2026-08-09,2026-09-08,INR,200000,36000.0,236000.0,Paid
INV-1117,C002,Bharat Manufacturing Pvt Ltd,2026-08-16,2026-09-15,INR,25000,4500.0,29500.0,Paid
INV-1118,C006,Global Components Pvt Ltd,2026-08-08,2026-09-07,INR,45000,8100.0,53100.0,Paid
INV-1119,C001,Acme Industries Limited,2026-08-08,2026-09-07,INR,98000,17640.0,115640.0,Paid
INV-1120,C010,Meridian Energy Services,2026-08-05,2026-09-04,INR,98000,17640.0,115640.0,Paid
