tax_entry_id,document_ref,customer_name,tax_date,taxable_value,cgst,sgst,igst,total_tax
TAX-6030,INV1030,BlueSky Logistics India,2026-08-08,45000,4050.0,4050.0,0,8100.0
TAX-6031,INV1031,Bharat Manufacturing Pvt Ltd,2026-08-02,25000,2250.0,2250.0,0,4500.0
TAX-6032,INV1032,Orion Industrial Holdings,2026-08-06,200000,18000.0,18000.0,0,36000.0
TAX-6033,INV1033,BlueSky Logistics India,2026-08-07,200000,18000.0,18000.0,0,36000.0
TAX-6034,INV1034,Nova Retail Solutions,2026-08-13,25000,2250.0,2250.0,0,4500.0
TAX-6035,INV1035,Vertex Technologies India,2026-08-15,125000,11250.0,11250.0,0,22500.0
TAX-6036,INV1036,Zenith Consumer Products,2026-08-16,75000,6750.0,6750.0,0,13500.0
TAX-6037,INV1037,Vertex Technologies India,2026-08-07,25000,2250.0,2250.0,0,4500.0
TAX-6038,INV1038,Global Components Pvt Ltd,2026-08-02,25000,2250.0,2250.0,0,4500.0
TAX-6039,INV1039,Zenith Consumer Products,2026-08-17,75000,6750.0,6750.0,0,13500.0
TAX-6040,INV1040,Zenith Consumer Products,2026-08-03,75000,6750.0,6750.0,0,13500.0
TAX-6041,INV1041,Meridian Energy Services,2026-08-03,98000,8820.0,8820.0,0,17640.0
TAX-6042,INV1042,Bharat Manufacturing Pvt Ltd,2026-08-19,98000,8820.0,8820.0,0,17640.0
TAX-6043,INV1043,Meridian Energy Services,2026-08-03,200000,18000.0,18000.0,0,36000.0
TAX-6044,INV1044,Orion Industrial Holdings,2026-08-11,98000,8820.0,8820.0,0,17640.0
TAX-6045,INV1045,Apex Infrastructure Ltd,2026-08-05,125000,11250.0,11250.0,0,22500.0
TAX-6046,INV1046,Global Components Pvt Ltd,2026-08-03,25000,2250.0,2250.0,0,4500.0
TAX-6047,INV1047,Meridian Energy Services,2026-08-19,45000,4050.0,4050.0,0,8100.0
TAX-6048,INV1048,Zenith Consumer Products,2026-08-07,125000,11250.0,11250.0,0,22500.0
TAX-6049,INV1049,Global Components Pvt Ltd,2026-08-03,98000,8820.0,8820.0,0,17640.0
TAX-6050,INV1050,Vertex Technologies India,2026-08-06,250000,22500.0,22500.0,0,45000.0
TAX-6051,INV1051,Meridian Energy Services,2026-08-21,25000,2250.0,2250.0,0,4500.0
TAX-6052,INV1052,Bharat Manufacturing Pvt Ltd,2026-08-05,125000,11250.0,11250.0,0,22500.0
TAX-6053,INV1053,Bharat Manufacturing Pvt Ltd,2026-08-18,75000,6750.0,6750.0,0,13500.0
TAX-6054,INV1054,Vertex Technologies India,2026-08-20,98000,8820.0,8820.0,0,17640.0
TAX-6055,INV1055,Orion Industrial Holdings,2026-08-21,125000,11250.0,11250.0,0,22500.0
TAX-6056,INV1056,Vertex Technologies India,2026-08-02,45000,4050.0,4050.0,0,8100.0
TAX-6057,INV1057,Vertex Technologies India,2026-08-02,25000,2250.0,2250.0,0,4500.0
TAX-6058,INV1058,Vertex Technologies India,2026-08-06,250000,22500.0,22500.0,0,45000.0
TAX-6059,INV1059,Zenith Consumer Products,2026-08-01,45000,4050.0,4050.0,0,8100.0
TAX-6060,INV1060,Nova Retail Solutions,2026-08-18,25000,2250.0,2250.0,0,4500.0
TAX-6061,INV1061,Meridian Energy Services,2026-08-18,75000,6750.0,6750.0,0,13500.0
TAX-6062,INV1062,Nova Retail Solutions,2026-08-02,125000,11250.0,11250.0,0,22500.0
TAX-6063,INV1063,Acme Industries Limited,2026-08-12,98000,8820.0,8820.0,0,17640.0
TAX-6064,INV1064,Bharat Manufacturing Pvt Ltd,2026-08-12,200000,18000.0,18000.0,0,36000.0
TAX-6065,INV1065,Orion Industrial Holdings,2026-08-06,75000,6750.0,6750.0,0,13500.0
TAX-6066,INV1066,Acme Industries Limited,2026-08-06,150000,13500.0,13500.0,0,27000.0
TAX-6067,INV1067,Orion Industrial Holdings,2026-08-09,75000,6750.0,6750.0,0,13500.0
TAX-6068,INV1068,Apex Infrastructure Ltd,2026-08-02,250000,22500.0,22500.0,0,45000.0
TAX-6069,INV1069,Orion Industrial Holdings,2026-08-15,150000,13500.0,13500.0,0,27000.0
TAX-6070,INV1070,Orion Industrial Holdings,2026-08-08,25000,2250.0,2250.0,0,4500.0
TAX-6071,INV1071,Apex Infrastructure Ltd,2026-08-11,125000,11250.0,11250.0,0,22500.0
TAX-6072,INV1072,Vertex Technologies India,2026-08-12,200000,18000.0,18000.0,0,36000.0
TAX-6073,INV1073,Acme Industries Limited,2026-08-04,125000,11250.0,11250.0,0,22500.0
TAX-6074,INV1074,Meridian Energy Services,2026-08-09,25000,2250.0,2250.0,0,4500.0
TAX-6075,INV1075,Meridian Energy Services,2026-08-14,150000,13500.0,13500.0,0,27000.0
TAX-6076,INV1076,Apex Infrastructure Ltd,2026-08-20,45000,4050.0,4050.0,0,8100.0
TAX-6077,INV1077,Meridian Energy Services,2026-08-07,125000,11250.0,11250.0,0,22500.0
TAX-6078,INV1078,Apex Infrastructure Ltd,2026-08-01,98000,8820.0,8820.0,0,17640.0
TAX-6079,INV1079,Bharat Manufacturing Pvt Ltd,2026-08-11,150000,13500.0,13500.0,0,27000.0
TAX-6080,INV1080,Vertex Technologies India,2026-08-17,125000,11250.0,11250.0,0,22500.0
TAX-6081,INV1081,Global Components Pvt Ltd,2026-08-13,125000,11250.0,11250.0,0,22500.0
TAX-6082,INV1082,Orion Industrial Holdings,2026-08-14,200000,18000.0,18000.0,0,36000.0
TAX-6083,INV1083,Meridian Energy Services,2026-08-19,125000,11250.0,11250.0,0,22500.0
TAX-6084,INV1084,Zenith Consumer Products,2026-08-01,125000,11250.0,11250.0,0,22500.0
TAX-6085,INV1085,Orion Industrial Holdings,2026-08-14,150000,13500.0,13500.0,0,27000.0
TAX-6086,INV1086,BlueSky Logistics India,2026-08-15,98000,8820.0,8820.0,0,17640.0
TAX-6087,INV1087,Nova Retail Solutions,2026-08-03,125000,11250.0,11250.0,0,22500.0
TAX-6088,INV1088,Bharat Manufacturing Pvt Ltd,2026-08-08,125000,11250.0,11250.0,0,22500.0
TAX-6089,INV1089,Orion Industrial Holdings,2026-08-05,25000,2250.0,2250.0,0,4500.0
TAX-6090,INV1090,BlueSky Logistics India,2026-08-20,45000,4050.0,4050.0,0,8100.0
TAX-6091,INV1091,Apex Infrastructure Ltd,2026-08-21,98000,8820.0,8820.0,0,17640.0
TAX-6092,INV1092,BlueSky Logistics India,2026-08-13,98000,8820.0,8820.0,0,17640.0
TAX-6093,INV1093,Acme Industries Limited,2026-08-04,200000,18000.0,18000.0,0,36000.0
TAX-6094,INV1094,Zenith Consumer Products,2026-08-15,25000,2250.0,2250.0,0,4500.0
TAX-6095,INV1095,Bharat Manufacturing Pvt Ltd,2026-08-15,75000,6750.0,6750.0,0,13500.0
TAX-6096,INV1096,Zenith Consumer Products,2026-08-18,150000,13500.0,13500.0,0,27000.0
TAX-6097,INV1097,Meridian Energy Services,2026-08-17,200000,18000.0,18000.0,0,36000.0
TAX-6098,INV1098,Nova Retail Solutions,2026-08-16,250000,22500.0,22500.0,0,45000.0
TAX-6099,INV1099,Vertex Technologies India,2026-08-17,250000,22500.0,22500.0,0,45000.0
TAX-6100,INV1100,Vertex Technologies India,2026-08-15,45000,4050.0,4050.0,0,8100.0
TAX-6101,INV1101,Orion Industrial Holdings,2026-08-09,150000,13500.0,13500.0,0,27000.0
TAX-6102,INV1102,Zenith Consumer Products,2026-08-03,75000,6750.0,6750.0,0,13500.0
TAX-6103,INV1103,Orion Industrial Holdings,2026-08-13,75000,6750.0,6750.0,0,13500.0
TAX-6104,INV1104,Apex Infrastructure Ltd,2026-08-14,150000,13500.0,13500.0,0,27000.0
TAX-6105,INV1105,Apex Infrastructure Ltd,2026-08-02,98000,8820.0,8820.0,0,17640.0
TAX-6106,INV1106,Apex Infrastructure Ltd,2026-08-19,25000,2250.0,2250.0,0,4500.0
TAX-6107,INV1107,Acme Industries Limited,2026-08-12,125000,11250.0,11250.0,0,22500.0
TAX-6108,INV1108,Apex Infrastructure Ltd,2026-08-18,98000,8820.0,8820.0,0,17640.0
TAX-6109,INV1109,Orion Industrial Holdings,2026-08-09,200000,18000.0,18000.0,0,36000.0
TAX-6110,INV1110,Acme Industries Limited,2026-08-13,150000,13500.0,13500.0,0,27000.0
TAX-6111,INV1111,Nova Retail Solutions,2026-08-15,75000,6750.0,6750.0,0,13500.0
TAX-6112,INV1112,Apex Infrastructure Ltd,2026-08-19,25000,2250.0,2250.0,0,4500.0
TAX-6113,INV1113,Apex Infrastructure Ltd,2026-08-05,250000,22500.0,22500.0,0,45000.0
TAX-6114,INV1114,Acme Industries Limited,2026-08-09,200000,18000.0,18000.0,0,36000.0
TAX-6115,INV1115,Orion Industrial Holdings,2026-08-15,150000,13500.0,13500.0,0,27000.0
TAX-6116,INV1116,Apex Infrastructure Ltd,2026-08-09,200000,18000.0,18000.0,0,36000.0
TAX-6117,INV1117,Bharat Manufacturing Pvt Ltd,2026-08-16,25000,2250.0,2250.0,0,4500.0
TAX-6118,INV1118,Global Components Pvt Ltd,2026-08-08,45000,4050.0,4050.0,0,8100.0
TAX-6119,INV1119,Acme Industries Limited,2026-08-08,98000,8820.0,8820.0,0,17640.0
TAX-6120,INV1120,Meridian Energy Services,2026-08-05,98000,8820.0,8820.0,0,17640.0
